# File: DECARB_trn_scenarios.csv
# Title: Parameter adjustments to define the transportation scenarios
# Units: various
# Comments: This is intended as a single control table for scenario differentiation
# Source: harmonization exercise with TEMPO
# Column types: ccccccni
# ----------
scenario,supplysector,subsector,technology,variable,value,adj_factor,rule_number
HiTech,trn_pass_road_LDV_4W,Car,Liquids,from.year,2040,,2
HiTech,trn_pass_road_LDV_4W,Car,Liquids,to.value,0,,2
HiTech,trn_pass_road_LDV_4W,Car,Liquids,to.year,2100,,2
HiTech,trn_pass_road_LDV_4W,Car,Liquids,interpolation.function,fixed,,2
HiTech,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,from.year,2040,,2
HiTech,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,to.value,0,,2
HiTech,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,to.year,2100,,2
HiTech,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,interpolation.function,fixed,,2
HiTech,trn_pass_road_LDV_4W,Large Car and Truck,Liquids,from.year,2040,,2
HiTech,trn_pass_road_LDV_4W,Large Car and Truck,Liquids,to.value,0,,2
HiTech,trn_pass_road_LDV_4W,Large Car and Truck,Liquids,to.year,2100,,2
HiTech,trn_pass_road_LDV_4W,Large Car and Truck,Liquids,interpolation.function,fixed,,2
HiTech,trn_freight_road,Heavy truck,BEV,share.weight,1.5,,
HiTech,trn_freight_road,Light truck,BEV,share.weight,1.5,,
HiTech,trn_freight_road,Medium truck,BEV,share.weight,1.5,,
